communitypharm_id;state_id;lga_id;pharmacy;address;phone;phone1;email;pin
1;33;703;WINCARE PHARMACY;;08036687187;;wincare.pharm@gmail.com;ri0001
2;33;703;BOLTOG PHARMACY;;08036687187;;chewasnkpa@gmail.com;ri0002
3;33;696;EFULECARE PHARMACY;;08037988609;;ngoziaiaokoronkwo@gmail.com;ri0003
4;33;696;CAPINO PHARMACY;;08037879766;;bascopharm@yahoo.com;ri0004
5;33;696;BUGONS PHARMACY;;08035988906;;ugochben@yahoo.com;ri0005
6;33;703;NALYN GLOBAL PHARMACY;;08037081833;;donatusodinakachukwu@gmail.com;ri0006
7;33;696;COSMADU PHARMACY;;08036760907;;cosmasmaduneme@yahoo.com;ri0007
8;33;696;SOSO PHARMACY;;07030304228;;sosopharmacy@gmail.com;ri0008
9;33;696;LLYODS PHARMACY;;08033402534;;lloydspharm@yahoo.com;ri0009
10;33;696;BARATA PHARMACY;;09095656624;;oenwere@yahoo.com;ri0010
11;33;696;OMNES PHARMACY;;08036014806;;og-mega@yahoo.co.uk;ri0011
12;33;696;PHLINT PHARMACY;;07031253763;;ify.anyanabor@gmail.com;ri0012
13;33;696;I & C PHARMACY;;08066655168;;nwokevictor72@yahoo.com;ri0013
14;33;696;MEKNEE PHARMACY;;08035645991;;cnakpa@yahoo.com;ri0014
15;33;696;GAKORA PHARMACY;;08037182065;;kwalegbemisola@gmail.com;ri0015
16;33;696;TOP TEA PHARMACY;;08067145454;;jonwujiariri@gmail.com;ri0016
17;33;696;EVERGREEN PHARMACY;;09057574354;;herbertdgreat@yahoo.com;ri0017
18;33;703;CEDITH PHARMACY;;08033367881;;cedithhealth@yahoo.com;ri0018
19;33;696;FIRST SEED PHARMACY;;08182509802;;aladishallom@gmail.com;ri0019
20;33;696;MEDICURE PHARMACY;;08066720308;;bomsmails@yahoo.com;ri0020
21;33;696;AKOLTEM PHARMACY;;07063583327;;akoltem@yahoo.com;ri0021
22;33;696;WILLSON PHARMACY;;08037075532;;wilfredugwuanyi@gmail.com;ri0022
23;33;696;BENMATIS PHARMACY;;08148272002;;benmatispharmacy@yahoo.com;ri0023
24;33;690;MENTOR PHARMACY;;08059000345;;mentormed@yahoo.com;ri0024
25;33;702;LUNECT PHARMACY;;08035470121;;ngozilukeegbogu@yahoo.com;ri0025
26;33;702;TREADSTONE PHARMACY;;08033402592;;oluwakemioladesemola@yahoo.com;ri0026
27;33;703;AL-INSHIRA PHARMACY;;08033420630;;ayaarunmonkun@yahoo.com;ri0027
28;33;703;SITA PHARMACY;;07060728384;;sitapharmacy1@gmail.com;ri0028
29;33;703;AB PHARMACY;;08037879766;;;ri0029
30;33;696;SODATON PHARMACY;;07030896961;;pharmwale@gmail.com;ri0030
31;33;696;GRAVAS PHARMACY;;;;romayuku@yahoo.com;ri0031
32;33;696;CHINDUX PHARMACY;;08033390028;;chinduxpharm@yahoo.com;ri0032
33;33;703;WKE PHARMACY;;08060529620;;walterjoel07@yahoo.co.uk;ri0033
34;33;703;AKOLTEM PHARMACY;;08037552538;;akoltem@yahoo.com;ri0034
35;33;696;SILVA PHARMACY;;08038806128;;silvasyncoinfo@yahoo.com;ri0035
36;33;703;AMIABLE PHARMACY;;08064398362;;ofollillyvalley@yahoo.com;ri0036
37;33;703;HEALTH SPA PHARMACY;;08033172456;;spa-healthspa@yahoo.com;ri0037
38;33;696;CORDIS PHARMACY;;09034490049;;cordispharmacy@yahoo.com;ri0038
39;33;696;MEKVIC PHARMACY;;08035415785;;vitameka@yahoo.com;ri0039
40;33;696;TOP LIFE PHARMACY;;08035500834;;charleseromosele001@gmail.com;ri0040
41;33;696;GRAYMED PHARMACY;;08063695960;;;ri0041
42;33;703;SELF CARE PHARMACY;;08035486560;;robertchika99@gmail.com;ri0042
43;33;696;BETHSIDA PHARMACY;;08034787033;;panele@yahoo.com;ri0043
44;33;696;PRAYBEST PHARMACY;;08033439619;;onyekachi4real2008@yahoo.com;ri0044
45;33;696;EZDEE PHARMACY;;08039382798;;;ri0045
46;33;703;OLIVE DIVINE;;08064274115;;oliver.obioma95@yahoo.com;ri0046
47;33;690;MENTOR PHARMACY;;08033421547;;mentormed@yahoo.com;ri0047
48;33;703;Uwal Pharmacy;;08032718314;;;ri0048
49;33;696;CELIA BUCHI PHARMACY;;08063397213;;;ri0049
50;9;176;Kaynaan Pharmacy;;08032326212;;edukecharles@gmail.com;cr0001
51;9;176;Remcare Pharmacy;;08038685762;;chidinmahelen@rocketmail.com;cr0002
52;9;176;Wessa Pharmacy;;08033367472;;vitalisonline2@gmail.com;cr0003
53;9;177;Joe- Manuel Pharmacy;;08034518005;;charlesuman@yahoo.com;cr0004
54;9;177;Genius Pharmacy;;09096409191;;isaackolawole99@gmail.com;cr0005
55;9;177;Vicon Pharmacy;;08125819232;;mfonudofia24@gmail.com;cr0006
56;9;177;Andy Pharmacy;;08037079644;;ebengeandy@yahoo.com;cr0007
57;9;177;Anijah Pharmacy;;09039351759;;ObetenCharles@yahoo.com;cr0008
58;9;177;Kamel Pharmacy;;08063530943;;kamelpharmacy1@gmail.com;cr0009
59;9;177;Winposh Pharmacy;;08037519878;;digwechibiuke@yahoo.com;cr0010
60;9;177;Bless & Mercy Pharmacy;;08034837194;;aruaIfeanyichukwu@yahoo.com;cr0011
61;9;177;Andy Pharmacy;;07038799089;;awajinome@gmail.com;cr0012
62;9;176;Akaa Pharmacy;;08036806361;;akaapharmacy@gmail.com;cr0013
63;9;176;Eagle Eye Pharmacy;;08038723651;;ositam.ogbu@gmail.com;cr0014
64;9;176;Enamate Pharmacy;;08063530943;;umetitichinazo@gmail.com;cr0015
65;9;176;Kamel Pharmacy;;08037453926;;kamelpharmacy1@gmail.com;cr0016
66;9;176;Canaan Life Pharmacy;;07039245269;;ernestattoe@gmail.com;cr0017
67;9;176;Daphyl Pharmacy;;08055026619;;daphyl4U@yahoo.com;cr0018
68;9;176;Bez Pharmacy;;08068579547;;nsikakudoma@gmail.com;cr0019
69;9;176;Kal - G Pharmacy;;08032446501;;noblesirpee523@gmail.com;cr0020
70;9;176;Anijah Pharmacy;;08058500868;;aianijah@yahoo.com;cr0021
71;9;176;Sedem Pharmacy;;07065273015;;cyrilokochi@yahoo.com;cr0022
72;9;184;CMark Global Pharmacy;;08068103301;;udemezuenonso@gmail.com;cr0023
73;9;179;Calwell Pharmacy;;08037365812;;calistusabonyi@yahoo.com;cr0024
74;3;63;Jembernice Pharmacy;;08035067306;;olorunsolaeo@yahoo.com;ak0001
75;3;52;JDJ Pharmacy;;08037947338;;jdjide@yahoo.com;ak0002
76;3;52;Gift Alive Pharmacy;;08067080340;;enodelord@yahoo.co.uk;ak0003
77;3;69;Serason Pharmacy;;08063276478;;tonyiykecares@yahoo.com;ak0004
78;3;69;De Druglord Pharmacy;;08069299990;;dedruglordpharmacy@gmail.com;ak0005
79;3;69;Prolimsa Pharmacy;;07061568850;;udpharm@yahoo.com;ak0006
80;3;69;Siban Pharmacy;;08028265806;;sibanpharm@gmail.com;ak0007
81;3;69;Revive-Health Pharmacy;;08034261270;;olembe_a@yahoo.com;ak0008
82;3;69;Tonay Pharmacy;;08036881871;;tonaypharm@gmail.com;ak0009
83;3;69;One Stop Pharmacy;;08023337068;;usenfelicia@gmail.com;ak0010
84;3;69;Golden Drugs Pharmacy;;07068612972;;goldendrugs52011@gmail.com;ak0011
85;3;52;Pharmablaze Pharmacy Ikot Ekpene;;07035751989;;;ak0012
86;3;69;Vinzorb Pharmacy Uyo;;08037608526;;;ak0013
87;3;41;Lily Pharmacy Eket;;07064557295;;;ak0014
88;3;41;Adorable Pharmacy Eket;;08038615153;;;ak0015
89;3;41;Moferein Pharmacy Eket;;07033226432;;;ak0016
90;3;63;Lily Pharmacy Oron;;08038700680;;;ak0017
91;3;52;Mkpouto Pharmacy Ikot Ekpene;;08136583981;;;ak0018
92;3;52;Bonalive Pharmacy Ikot Ekpene;;08032577706;;;ak0019
93;3;52;Lily Pharmacy Ikot Ekpene;;08037699016;;;ak0020
94;3;69;Jomel Pharmacy Uyo;;08027387227;;;ak0021
95;3;50;Carepoint Pharmacy Ibiono;;08038695025;;;ak0022
96;3;69;U-Chris Pharmacy Uyo;;07014872888;;;ak0023
97;3;69;Drugzone Pharmacy Uyo;;08068775718;;;ak0024
98;3;69;Healthway Pharmacy Uyo;;08067726247;;;ak0025
99;25;507;Wellville Pharmacy;;07033506000;;adedayo_adetiba@hotmail.com;la0001
100;25;507;Jogen Pharmacy;;08158190375;;jogenpharmacy@yahoo.com;la0002
101;25;507;Primeah Pharmacy;;07031220392;;pharmacy@primeah.com.ng;la0003
102;25;507;Le Remede Pharmacy;;09097871100;;amemaben@gmail.com;la0004
103;25;507;Zimak Pharmacy;;07036911954;;cutiecindy@yahoo.com;la0005
104;25;507;Rosemus Pharmacy (Ajeromi);;08037788345;;rosemuspharm@yahoo.com;la0006
105;25;507;Kaodaf Pharmacy;;08028762012;;kaodafpharm@yahoo.com;la0007
106;25;507;Bolatoks Pharmacy;;07032878238;;bolatokspharmacy@gmail.com;la0008
107;25;507;Standard Generics;;08033168492;;stdgenerics@yahoo.com;la0009
108;25;510;Remedia Pharmacy;;08088226324;;remediapharmacy2010@gmail.com;la0010
109;25;510;Cosmos Pharmacy;;08033070943;;cosmospharma@yahoo.co.uk;la0011
110;25;510;Rosemus Pharmacy(Apapa);;07033648163;;rosemuspharm@yahoo.com;la0012
111;25;510;Healthplus Pharmacy Apapa;;08082435763;;Apapamall@healthplus.com.ng;la0013
112;25;510;Jaykay Pharmacy;;09097495491;;jaykay.pharma@yahoo.com;la0014
113;25;510;De Luxuriant Pharmacy;;08033239580;;onyidora2002@yahoo.com;la0015
114;25;510;Careforte Pharmacy;;07086401956;;petmogul12@gmail.com;la0016
115;25;506;Light House Pharmacy;;08037279350;;owopaul@yahoo.com;la0017
116;25;506;Teglo Pharmacy;;08034707691;;teglopharmacy1@gmail.com;la0018
117;25;506;Shekinah Pharmacy;;07086005960;;Shekinahspecialtiesltd@gmail.com;la0019
118;25;506;Arebcyl Pharmacy;;08033082453;;arebuncyril@yahoo.com;la0020
119;25;506;ABSA Healthcare;;08037178441;;Abbas.sambo@gmail.com;la0021
120;25;506;Damilola Pharmacy (1);;08032192838;;ogunladeolaitan@yahoo.com;la0022
121;25;506;Damilola pharmacy (2);;07066557993;;ogunladeolaitan@yahoo.com;la0023
122;25;506;03 Pharmacy;;08023209181;;Jumoke.baker@gmail.com;la0024
123;25;506;Danour Pharmacy;;08032724284;;ahmedilinie@gmail.com;la0025
124;25;506;Mooveon pharmacy;;09097612523;;mooveon44@gmail .com;la0026
125;25;506;Agenda pharmacy;;08037233498;;ayospecie@gmail.com;la0027
126;25;506;Caratiyah Pharmacy;;08027288555;;pharmarkola@yahoo.com;la0028
127;25;506;Salvich Pharmacy;;08023075729;;judeonwordi@yahoo.com;la0029
128;25;506;Mascot Pharmacy;;08026108324;;mascotpharmacy@gmail.com;la0030
129;25;506;Epsilon Pharmacy;;08028485054;;epsilonpharma@yahoo.com;la0031
130;25;506;Olivecare Pharmacy;;08039097017;;olivecarepharmacy@gmail.com;la0032
131;25;506;Ufot-Mfonse Pharmacy;;08029494539;;Mfonnsese@yahoo.com;la0033
132;25;506;Letonia Pharmacy;;08033922445;;letoniagroup@gmail.com;la0034
133;25;506;Golby Pharmacy;;08033066362;;golby123@yahoo.com;la0035
134;25;516;Moray Pharmacy;;08033060699;;yetmoray@gmail.com;la0036
135;25;506;Abek Pharmacy;;08037863511;;elizabetholu4@gmail.com;la0037
136;25;525;Mebik Pharmacy;;08034027579;;mebikpharm@gmail.com;la0038
137;25;525;Silverline Pharmacy;;08034079222;;ragbim@yahoo.com;la0039
138;25;525;Drugserve harmacy;;08023051683;;drugservepharmacyltd@yahoo.com;la0040
139;25;525;Invivo Pharmacy;;08028749959;;aojo@smartmarkltd.com;la0041
140;25;525;Veragate Pharmacy;;07083240700;;omololalawanson@gmail.com;la0042
141;25;525;Dummerics Pharmacy;;08037152686;;dummericspharma@yahoo.com;la0043
142;25;525;Bernados Pharmacy;;08170307773;;nictors2@yahoo.com;la0044
143;25;525;Healthplus Pharmacy (Surulere);;08025570269;;patrick.ugwumba@gmail.com;la0045
144;25;525;Highrise Pharmacy;;08036375145;;phighrise@yahoo.com;la0046
145;25;525;Devan Pharmacy;;08023022829;;eddanene@yahoo.com;la0047
146;25;525;Divinecare Pharmacy;;08034192390;;memechrisj@yahoo.co.uk;la0048
147;25;525;Winoc Pharmacy;;08099450000;;Winocpharm@yahoo.co.uk;la0049
148;25;518;Demsol Pharmacy;;08133376077;;mologunagba@yahoo.com;la0050
149;25;518;Kerson Pharmacy;;08034563901;;kersonpharma@gmail.com;la0051
150;25;522;Newton Pharmacy;;;;obideyi_ob@yahoo.com;la0052
151;25;522;Glopharm Healthcare;;07031849917;;glopharmhc@yahoo.com;la0053
152;25;522;Sinews and Muscles;;08034859995;;cyrilajing@gmail.com;la0054
153;25;522;Lopez Pharmacy;;08135459018;;Lopezpharm@gmail.com;la0055
154;25;509;Soulhealth Pharmacy;;08023054142;;emekaugbala@yahoo.com;la0056
155;25;509;Elbeth Pharmacy;;08062450621;;elbethpharmacy@gmail.com;la0057
156;25;509;Victory Drugs;;08023424425;;victorydrugs@yahoo.com;la0058
157;25;520;Medlounge Pharmacy;;08066396587;;komeikpro@yahoo.com;la0059
158;25;519;Rotlays Pharmacy;;08034027579;;biolaanibabaa@gmail.com;la0060
159;25;522;Massey Vickers Pharmacy Ojo);;08030495174;;omojusticegcfr@yahoo.com;la0061
160;25;522;Jeemay Pharmacy;;08029859391;;jeemaypharmacy@gmail.com;la0062
161;25;522;Jedidiah Pharmacy;;08039648778;;doziesmail@yahoo.com;la0063
162;25;522;Biotech Systems and Pharmaceuticals;;08035005950;;lcokoro@yahoo.com;la0064
163;25;522;Flinty Rock Pharmacy;;08029990318;;oakumulo@yahoo.com;la0065
164;25;522;New Concept Pharmacy;;08033276448;;anisiobinnekalisa@gmail.com;la0066
165;25;522;Verjoe Pharmacy;;08062827559;;aadaobiemeziem@gmail.com;la0067
166;25;507;Emmacity Pharmacy;;08034192644;;ubahenry@yahoo.com;la0068
167;25;513;Venzika Pharmacy;;08033268920;;ngozikaokoye@yahoo.com;la0069
168;25;517;Temidara Pharmacy;;08035725969;;spiritbeing4u@yahoo.com;la0070
169;25;518;Family Care Pharmacy;;08094308361;;familycarenigeria@gmail.com;la0071
170;25;513;Vicrob Pharmacy;;08033241494;;medsourceh@gmail.com;la0072
171;25;519;Mebik Pharmacy;;08186675212;;mebikpharm@gmail.com;la0073
172;25;513;Alpha Pharmacy;;08065436984;;danucci.uche@gmail.com;la0074
173;25;524;Drug Consult Pharmacy;;08023162832;;charlesoyeniyi@yahoo.com;la0075
174;25;518;Chrislad Pharmacy;;08035376880;;chrisladhealthcareltd@gmail.com;la0076
175;25;525;Rozec Pharmacy;;08033257929;;Rozecpharm@yahoo.com;la0077
176;25;524;Caremart Pharmacy;;08034737480;;nkechiogunjiofor@gmail. com;la0078
177;25;511;Tonag Pharmacy;;08023673328;;pharmijeoma@yahoo.com;la0079
178;25;522;Avantgrobel Pharmacy;;08033217090;;andydukor@gmail.com;la0080
179;25;522;Taigab Pharmacy;;08033040031;;oyedemigabriel@yahoo.com;la0081
180;25;522;Krismek Pharmacy;;08064855435;;krismekpharmacy@yahoo.com;la0082
181;25;522;Aanod Pharmacy;;08033188868;;aacmedes@yahoo.com;la0083
182;25;520;Ariox Pharmacy;;08033827512;;yemiarimoro2000@gmail.com;la0084
183;25;517;Ibro Pharmacy;;08029865279;;rasdon88@gmail.com;la0085
184;25;516;Alpha Pharmacy;;08184646386;;okaforhetty@gmail.com;la0086
185;25;506;Massey Vickers Pharmacy Agege;;08038182426;;masseyvickerspharmacy@gmail.com;la0087
186;25;525;Link Healthcare;;08033231861;;uchelam@yahoo.com;la0088
187;25;515;Playfair Pharmacy;;08037136735;;omoniyigbadeyan@gmail.com;la0089
188;25;520;Olive Height Pharm. Ltd;;07036616909;;oliveheight2013@gmail.com;la0090
189;25;524;Robson Pharmacy;;08033432538;;coeneil@yahoo.co.uk;la0091
190;25;518;Santeforte Pharmacy;;08033302312;;kafayatalao@yahoo.com;la0092
191;25;508;Nedol Pharmacy;;08037256283;;anene_happy@yahoo.?om;la0093
192;25;508;Medspring Pharmacy;;08030705510;;medspringpharmacy@gmail.com;la0094
193;25;523;Turmeric Pharmacy;;08182989540;;info@turmericpharma.com;la0095
194;25;522;Marvelous pharmacy;;08023962036;;ugwus@yahoo.com;la0096
195;25;522;Cynstan Pharmacy;;08182926148;;cynstanpharma@yahoo.com;la0097
196;25;522;Comely Anchor 2;;08128199744;;pesosuota@gmail.com;la0098
197;25;508;Engraced Phharmacy;;08038221372;;omonajoona@yahoo.co.uk;la0099
198;25;516;Healthplus (Allen);;08056359283;;emondays@yahoo.com;la0100
199;25;522;Drugs Plux Pharmacy;;08036877870;;olisaagbalugo@yahoo.com;la0101
200;25;524;Rite care Pharmacy;;08035714840;;flakybaluba@yahoo.com;la0102
201;25;520;Pill Box Pharmacy;;08182275483;;jalolayi@gmail.com;la0103
202;25;518;Springcare Pharmacy;;08033928830;;springcarepharma@gmail.com;la0104
203;25;518;Mebik Pharmacy Gbagada;;07069359784;;mebikpharm@gmail.com;la0105
204;25;522;Somed Pharmacy;;08027171245;;ayoolamail@yahoo.com;la0106
205;25;520;Habibi Pharmacy;;08034526600;;habibijum@gmail.com;la0107
206;25;519;Bola Chemist;;08090956077;;sarah.akowa2016@gmail.com;la0108
207;25;516;Haven Pharmacy;;07030980082;;chizon3@yahoo.com;la0109
208;25;509;Raforn Pharmacy;;08034376352;;rafronnaira@gmail.com;la0110
209;25;506;Deyo Pharmacy;;08023115261;;dejiosinoiki@yahoo.com;la0111
