facility_id;state_id;lga_id;name;facility_type;address1;address2;phone1;phone2;email;pad_hospital_num;day_dqa;active;partner_ids;national_id;datim_id
1;1;1;ab Aba Berma Hospital;Urban;;0;;;;1;12;0;;;
2;1;1;ab Aba Holywood Hospital;Urban;;0;;;;1;12;0;;;
3;1;1;ab Angels of Mercy Hospital;Urban;;0;;;;1;12;0;;;
4;1;1;ab Asaokpulor Primary Health Centre;Rural;;0;;;;1;12;0;;;
5;1;1;ab Austin Grace Specialist Hospital;Urban;;0;;;;1;12;0;;;
6;1;1;ab Blessed Haven Hospital;Urban;;0;;;;1;12;0;;;
7;1;1;ab Emmanuel Medical Centre;Urban;;0;;;;1;12;0;;;
8;1;1;ab Euna Hospital and Maternity;Urban;;0;;;;1;12;0;;;
9;1;1;ab Evergreen Clinic and Maternity;Urban;;0;;;;1;12;0;;;
10;1;1;ab Eziama Primary Health Centre;Urban;;0;;;;1;12;0;;;
11;1;1;ab Gods Will Clinic;Urban;;0;;;;1;12;0;;;
12;1;1;ab Good Samarithan Hospital;Urban;;0;;;;1;12;0;;;
13;1;1;ab Goodness and Mercy Hospital;Urban;;0;;;;1;12;0;;;
14;1;1;ab Group Medical Practice;Urban;;0;;;;1;12;0;;;
15;1;1;ab Ikechukwu Maternity and Hospital;Rural;;0;;;;1;12;0;;;
16;1;1;ab Impact Hospital and Maternity;Urban;;0;;;;1;12;0;;;
17;1;1;ab Isaac Okwuonu Memorial Hospital;Urban;;0;;;;1;12;0;;;
18;1;1;ab Kahabiri Specialist Hospital;Urban;;0;;;;1;12;0;;;
19;1;1;ab Landmark Hospital;Urban;;0;;;;1;12;0;;;
20;1;1;ab Nazereth Hospital;Urban;;0;;;;1;12;0;;;
21;1;1;ab New Life Clinic and Maternity;Urban;;0;;;;1;12;0;;;
22;1;1;ab Nissi Hospital;Urban;;0;;;;1;12;0;;;
23;1;1;ab Noscar Conerstone Clinic;Urban;;0;;;;1;12;0;;;
24;1;1;ab Osoke Primary Health Centre;Urban;;0;;;;1;12;0;;;
25;1;1;ab Seventh Day Adventist Hospital Aba;Urban;;0;;;;1;12;0;;;
26;1;1;ab The Chees Clinic and Maternity;Urban;;0;;;;1;12;0;;;
27;1;1;ab Tina Maternity and Immunization Centre;Urban;;0;;;;1;12;0;;;
28;1;1;ab Touch Health Centre;Rural;;0;;;;1;12;0;;;
29;1;1;ab Umola-Egbelu Primary Health Centre;Urban;;0;;;;1;12;0;;;
30;1;1;ab Umuogor Primary Health Centre;Urban;;0;;;;1;12;0;;;
31;1;1;ab Uratta Primary Health Centre;Rural;;0;;;;1;12;0;;;
32;1;1;ab Zikora Medical Centre;Urban;;0;;;;1;12;0;;;
33;1;2;ab Aba South Health Office;Urban;;0;;;;1;12;0;;;
34;1;2;ab Aba St Joseph Hospital;Urban;;0;;;;1;12;0;;;
35;1;2;ab Abia State Teaching Hospital;Urban;;0;;;;1;12;0;;;
36;1;2;ab Agu Memorial Hospital;Urban;;0;;;;1;12;0;;;
37;1;2;ab Anastesia Hospital Ltd;Urban;;0;;;;1;12;0;;;
38;1;2;ab Annabelles Bogi Development Initiative (ABDI);Urban;;0;;;;1;12;0;;;
39;1;2;ab Bethel Hospital and Maternity;Urban;;0;;;;1;12;0;;;
40;1;2;ab Blessing Hospital;Urban;;0;;;;1;12;0;;;
41;1;2;ab Chidimma Green Hospital Life;Urban;;0;;;;1;12;0;;;
42;1;2;ab Chinwe Maternity Home;Urban;;0;;;;1;12;0;;;
43;1;2;ab Chiwendu Clinics and Maternity;Urban;;0;;;;1;12;0;;;
44;1;2;ab Christian Aid Maternity;Rural;;0;;;;1;12;0;;;
45;1;2;ab Clehenson Hospital;Urban;;0;;;;1;12;0;;;
46;1;2;ab Divine Favour Hospital and Maternity;Urban;;0;;;;1;12;0;;;
47;1;2;ab Ekeoma Memorial Specialist Hospital;Urban;;0;;;;1;12;0;;;
48;1;2;ab El-Asamen Specialist Hospital;Urban;;0;;;;1;12;0;;;
49;1;2;ab Faith Foundation Hospital;Urban;;0;;;;1;12;0;;;
50;1;2;ab Harmony Hospital;Urban;;0;;;;1;12;0;;;
51;1;2;ab John Okorie Memorial Hospital;Urban;;0;;;;1;12;0;;;
52;1;2;ab Mendel Hospital and Diagnostic Centre Ltd;Urban;;0;;;;1;12;0;;;
53;1;2;ab Miracle Hospital;Urban;;0;;;;1;12;0;;;
54;1;2;ab Mother Mercy Clinic;Urban;;0;;;;1;12;0;;;
55;1;2;ab Ndu Christ Maternity;Urban;;0;;;;1;12;0;;;
56;1;2;ab New Generation Hospital and Maternity;Urban;;0;;;;1;12;0;;;
57;1;2;ab Ngwa Road Clinic;Urban;;0;;;;1;12;0;;;
58;1;2;ab Nnadozie Hospital;Urban;;0;;;;1;12;0;;;
59;1;2;ab Onyemaechi Maternity;Urban;;0;;;;1;12;0;;;
60;1;2;ab Our Saviour Maternity Home;Urban;;0;;;;1;12;0;;;
61;1;2;ab Petra Hospital (Ngwa II);Urban;;0;;;;1;12;0;;;
62;1;2;ab Presbyterian Primary Health Center;Urban;;0;;;;1;12;0;;;
63;1;2;ab Shammah Christian Hospital;Urban;;0;;;;1;12;0;;;
64;1;2;ab St James Primary Health Centre;Urban;;0;;;;1;12;0;;;
65;1;2;ab St. Anthony Hospital Ltd;Urban;;0;;;;1;12;0;;;
66;1;2;ab Victory Christian Hospital;Urban;;0;;;;1;12;0;;;
67;1;2;ab Word of Faith Mission Hospital;Urban;;0;;;;1;12;0;;;
